,infections C1,infections C2,infections C3,infections C4,AV total mileage,SCC C1,SCC C2,SCC C3,SCC C4,OM C1,OM C3,OM C4,deaths C1,deaths C2,deaths C3,deaths C4,VSL C1,VSL C2,VSL C3,VSL C4,externalities C1,externalities C2,externalities C3,externalities C4,OM C2,total C1,total C2,total C3,total C4
38,120,71,61,80,2013590.2527400232,316338.94800588477,632677.8960117695,361242.0106419873,466648.824126528,17048389.40668889,18860620.634154912,17048389.40668889,4.104,2.4282,2.0862000000000003,2.736,47606400.0,28167120.0,24199920.000000004,31737600.000000004,170558.78074799996,341117.5614959999,371917.8060220023,170558.78074799996,34096778.81337778,65141687.13544278,63237694.27088555,43793700.450818904,49423197.01156343
39,126,87,67,78,2021280.4854255533,316338.94800588477,632677.8960117695,361413.50283087464,466648.824126528,17048389.40668889,18867541.84357189,17048389.40668889,4.309200000000001,2.9754,2.2914,2.6676,49986720.00000001,34514640.0,26580240.0,30944160.000000004,170558.78074799996,341117.5614959999,372686.8292905553,170558.78074799996,34096778.81337778,67522007.13544278,69585214.27088556,46181882.17569332,48629757.01156343
40,120,77,63,75,2018811.4527944338,316338.94800588477,632677.8960117695,361358.44340320065,466648.824126528,17048389.40668889,18865319.714203883,17048389.40668889,4.104,2.6334,2.1546000000000003,2.565,47606400.0,30547440.0,24993360.000000004,29754000.0,170558.78074799996,341117.5614959999,372439.9260274434,170558.78074799996,34096778.81337778,65141687.13544278,65618014.27088555,44592478.08363453,47439597.01156342
41,104,74,56,77,2014698.1388971196,316338.94800588477,632677.8960117695,361266.7165032905,466648.824126528,17048389.40668889,18861617.7316963,17048389.40668889,3.5568,2.5308,1.9152,2.6334,41258880.0,29357280.000000004,22216320.0,30547440.0,170558.78074799996,341117.5614959999,372028.59463771194,170558.78074799996,34096778.81337778,58794167.13544278,64427854.27088555,41811233.04283731,48233037.01156342
42,129,80,64,86,2012125.271295898,316338.94800588477,632677.8960117695,361209.3415557833,466648.824126528,17048389.40668889,18859302.1508552,17048389.40668889,4.4118,2.736,2.1888,2.9412000000000003,51176880.00000001,31737600.000000004,25390080.0,34117920.0,170558.78074799996,341117.5614959999,371771.3078775898,170558.78074799996,34096778.81337778,68712167.13544278,66808174.27088555,44982362.80028857,51803517.01156342
43,130,72,57,79,2026037.0364982658,316338.94800588477,632677.8960117695,361519.5739197961,466648.824126528,17048389.40668889,18871822.739537332,17048389.40668889,4.446,2.4624,1.9494,2.7018,51573600.0,28563840.0,22613040.0,31340880.0,170558.78074799996,341117.5614959999,373162.48439782654,170558.78074799996,34096778.81337778,69108887.13544278,63634414.27088555,42219544.79785495,49026477.01156342
44,122,82,65,90,2014999.3215675415,316338.94800588477,632677.8960117695,361273.43287684093,466648.824126528,17048389.40668889,18861888.796099678,17048389.40668889,4.1724000000000006,2.8044000000000002,2.223,3.0780000000000003,48399840.00000001,32531040.000000004,25786800.0,35704800.0,170558.78074799996,341117.5614959999,372058.7129047541,170558.78074799996,34096778.81337778,65935127.135442786,67601614.27088556,45382020.94188127,53390397.01156342
45,104,82,62,79,2014205.7382403063,316338.94800588477,632677.8960117695,361255.7359686436,466648.824126528,17048389.40668889,18861174.571105167,17048389.40668889,3.5568,2.8044000000000002,2.1204,2.7018,41258880.0,32531040.000000004,24596640.0,31340880.0,170558.78074799996,341117.5614959999,371979.3545720306,170558.78074799996,34096778.81337778,58794167.13544278,67601614.27088556,44191049.66164584,49026477.01156342
46,114,86,73,88,1999314.0394085052,316338.94800588477,632677.8960117695,360923.65108469443,466648.824126528,17048389.40668889,18847772.042156547,17048389.40668889,3.8988,2.9412000000000003,2.4966,3.0096000000000003,45226080.0,34117920.0,28960560.0,34911360.0,170558.78074799996,341117.5614959999,370490.1846888505,170558.78074799996,34096778.81337778,62761367.13544278,69188494.27088556,48539745.87793009,52596957.01156342
47,117,80,63,87,2001411.0342313803,316338.94800588477,632677.8960117695,360970.4140692445,466648.824126528,17048389.40668889,18849659.337497134,17048389.40668889,4.0014,2.736,2.1546000000000003,2.9754,46416240.0,31737600.000000004,24993360.000000004,34514640.0,170558.78074799996,341117.5614959999,370699.884171138,170558.78074799996,34096778.81337778,63951527.13544278,66808174.27088555,44574689.635737516,52200237.01156342
